 ,Label,Area,Mean,Min,Max,X,Y,%Area,MinThr,MaxThr,Ribo_NN_Dist,Ribo_EmpP,Ribo_CloserThanRand,Experiment
1334,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436897,0.089,591.086,327,871,39.5,22.747,95.876,310,65535,0.9868383859579001,0.8684979544126242,False,Exp84_C3
1335,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436902,0.069,427.361,319,560,45.197,23.247,74.227,310,65535,0.8485587781644811,0.8024547048509644,False,Exp84_C3
1336,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436903,0.061,401.312,314,491,48.524,23.382,65.979,310,65535,1.3318607284547441,0.9479836353009936,False,Exp84_C3
1337,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436900,0.058,404.933,310,536,38.715,23.121,61.856,310,65535,1.8351602109897585,0.9824663939216832,False,Exp84_C3
1338,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436901,0.087,433.593,319,542,44.37,23.111,93.814,310,65535,1.4578288651278661,0.9649327878433664,False,Exp84_C3
1339,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436906,0.024,352.68,310,405,42.267,23.5,25.773,310,65535,1.7847576866342394,0.9795441262419637,False,Exp84_C3
1340,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436907,0.092,547.854,325,762,45.478,23.708,98.969,310,65535,0.33525214391559155,0.3185271770894214,False,Exp84_C3
1341,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436904,0.093,848.897,624,1049,47.212,23.428,100.0,310,65535,1.7316769329179205,0.9789596727060199,False,Exp84_C3
1342,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436905,0.092,433.792,310,509,44.395,23.488,98.969,310,65535,1.228511701205972,0.9339567504383401,False,Exp84_C3
1343,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436910,0.093,1056.68,824,1305,47.212,23.862,100.0,310,65535,1.7304918375999387,0.9789596727060199,False,Exp84_C3
1344,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436911,0.056,414.793,311,517,48.822,23.962,59.794,310,65535,0.6833805674732067,0.6949152542372882,False,Exp84_C3
1345,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436908,0.093,787.835,437,1060,47.46,23.738,100.0,310,65535,1.8059249707559852,0.9812974868497955,False,Exp84_C3
1346,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436909,0.093,1035.794,606,1287,46.686,23.831,100.0,310,65535,1.2136593426493287,0.9310344827586207,False,Exp84_C3
1347,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436914,0.093,660.773,471,846,45.478,24.171,100.0,310,65535,0.1286584626054578,0.055523085914669784,True,Exp84_C3
1348,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436915,0.093,920.34,518,1155,46.593,24.233,100.0,310,65535,1.1182593616867282,0.9047340736411456,False,Exp84_C3
1349,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436912,0.014,344.067,311,378,38.496,24.145,15.464,310,65535,2.3940812434000596,0.9953243717124488,False,Exp84_C3
1350,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436913,0.093,1136.155,1009,1264,46.81,24.14,100.0,310,65535,1.3225619078137731,0.9473991817650497,False,Exp84_C3
1351,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436918,0.093,1239.948,835,1566,47.058,24.388,100.0,310,65535,1.604529214442667,0.973115137346581,False,Exp84_C3
1352,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436919,0.093,649.629,463,847,45.602,24.512,100.0,310,65535,0.48195642956599355,0.5061367621274109,False,Exp84_C3
1353,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436916,0.083,880.414,542,1065,48.931,24.331,89.691,310,65535,0.2993409427392153,0.2793687901811806,False,Exp84_C3
1354,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436917,0.093,578.68,354,762,48.327,24.357,100.0,310,65535,0.758108831237314,0.7440093512565751,False,Exp84_C3
1355,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436922,0.093,1208.649,863,1571,47.12,24.853,100.0,310,65535,1.8052822494003504,0.9812974868497955,False,Exp84_C3
1356,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436923,0.07,613.027,430,873,49.16,24.866,75.258,310,65535,0.2827949787390111,0.2548217416715371,False,Exp84_C3
1357,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436920,0.093,1000.629,482,1336,46.779,24.76,100.0,310,65535,1.4741210940760643,0.9655172413793104,False,Exp84_C3
1358,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436921,0.093,1090.66,707,1346,47.77,24.822,100.0,310,65535,1.2897104326165603,0.9438924605493864,False,Exp84_C3
1359,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436926,0.093,1311.32,866,1831,48.792,25.131,100.0,310,65535,0.5787780230796591,0.5967270601987142,False,Exp84_C3
1360,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436927,0.093,888.773,464,1107,47.089,25.193,100.0,310,65535,1.7804957174899338,0.9795441262419637,False,Exp84_C3
1361,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436924,0.093,859.526,596,1184,45.571,24.946,100.0,310,65535,0.2550019607767726,0.21858562244301577,False,Exp84_C3
1362,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436925,0.079,458.927,316,633,40.747,25.018,84.536,310,65535,0.030083217912985755,0.0017533606078316774,True,Exp84_C3
1363,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436866,0.085,515.719,319,701,43.508,20.769,91.753,310,65535,0.6600189391222079,0.6715371127995324,False,Exp84_C3
1364,MAX_20240816_Exp84_RNA-FISH_Cytb_CF610_MRPL45_488_GVBD_C3_Airyscan Processing-1-1.tif:ID6436867,0.093,1140.258,739,1472,46.934,20.765,100.0,310,65535,0.2713116289435424,0.24313267095265925,False,Exp84_C3
